COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
MKT 2210,A01 (50001),Fundamentals of Marketing (3),M,"Jan 06 - Apr 09, 11:30-12:45 (MW)",Kivalina Grove
MKT 2210,A03 (50004),Fundamentals of Marketing (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",David Suderman
MKT 2210,A04 (50005),Fundamentals of Marketing (3),M,"Jan 06 - Apr 09, 10:00-11:15 (MW)",Kivalina Grove
MKT 3220,A01 (50013),Marketing Research (3),M,"Jan 06 - Apr 09, 13:00-14:15 (MW)",Nicholas Borodenko
MKT 3220,A02 (63798),Marketing Research (3),M,"Jan 06 - Apr 09, 11:30-12:45 (MW)",Nicholas Borodenko
MKT 3230,A02 (50016),Consumer Behaviour (3),M,"Jan 06 - Apr 09, 10:00-11:15 (MW)",TBA
MKT 3230,A01 (50015),Consumer Behaviour (3),M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",Namita Bhatnagar
MKT 3230,A03 (51132),Consumer Behaviour (3),M,"Jan 06 - Apr 09, 11:30-12:45 (MW)",TBA
MKT 3246,A02 (64330),Sustainability Marketing (3),M,"Jan 06 - Apr 09, 14:30-15:45 (MW)",Luming Wang
MKT 3246,A01 (64329),Sustainability Marketing (3),M,"Jan 06 - Apr 09, 10:00-11:15 (MW)",Luming Wang
MKT 3248,A01 (61962),Digital Marketing (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Divya Ramachandran
MKT 3300,A01 (51285),International Marketing (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",David Kernaghan
MKT 3300,A02 (52788),International Marketing (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",David Kernaghan
MKT 3390,A01 (52601),Integrated Marketing Communications (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Kiran Pedada
MKT 3390,A02 (52602),Integrated Marketing Communications (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Kiran Pedada
MKT 4010,A01 (62945),Marketing Analytics (3),M,"Jan 06 - Apr 09, 14:30-17:15 (W)",Hee Park
MKT 4210,A01 (50020),Strategic Marketing (3),M,"Jan 06 - Apr 09, 11:30-12:45 (MW)",Kiran Pedada
MKT 4210,A02 (50021),Strategic Marketing (3),M,"Jan 06 - Apr 09, 13:00-14:15 (MW)",Kiran Pedada
MKT 7010,G01 (57293),Marketing Management (3),M,"Jan 23 - Apr 03, 18:15-21:30 (R)",TBA
MKT 7010,G02 (63983),Marketing Management (3),M,"Jan 21 - Apr 01, 14:30-17:45 (T)",TBA
MKT 7080,G14 (64422),Marketing Analytics (3),M,"Jan 22 - Apr 02, 18:15-21:30 (W)",TBA
MKT 7080,A01 (64651),Selected Topics in Marketing (3),M,"Jan 06 - Apr 09, 14:30-17:30 (M)",TBA
MSCI 2150,A02 (52052),Introduction to Management Sciences (3),M,"Jan 06 - Apr 09, 11:30-12:45 (MW)",Yuvraj Gajpal
MSCI 2150,A03 (50031),Introduction to Management Sciences (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",TBA
MSCI 2150,A04 (58002),Introduction to Management Sciences (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Srimantoorao Appadoo
MSCI 2150,A01 (50032),Introduction to Management Sciences (3),M,"Jan 06 - Apr 09, 13:00-14:15 (MW)",Yuvraj Gajpal
MSCI 5110,G01 (54437),Basic Quantitative Analysis for Management (1),OC,Jan 06 - Jan 17,TBA
MSCI 5110,A01 (61769),Basic Quantitative Analysis for Management (1),OC,Jan 06 - Jan 17,TBA
MSCI 7140,A01 (61176),Quantitative Analysis for Management (3),M,"Jan 22 - Apr 02, 18:15-21:30 (W)",TBA
MSCI 7140,G01 (57296),Quantitative Analysis for Management (3),M,"Jan 22 - Apr 02, 18:15-21:30 (W)",TBA
OPM 7120,G01 (63981),Operations and Supply Chain Management (3),M,"Jan 20 - Mar 31, 18:15-21:30 (M)",TBA
OPM 7120,A01 (63980),Operations and Supply Chain Management (3),M,"Jan 20 - Mar 31, 18:15-21:30 (M)",TBA
OPM 7170,G01 (61187),Project Management (3),M,"Jan 20 - Apr 07, 18:15-21:30 (M)",TBA
OPM 7170,A01 (61185),Project Management (3),M,"Jan 20 - Apr 07, 18:15-21:30 (M)",TBA
OPM 7300,T26 (64661),Supply Chain Financial Analysis (3),M,"Jan 06 - Apr 09, 14:30-15:45 (MW)",Javad Feiz Abadi
OPM 7300,T23 (62726),Recent Developments in Supply Chain Management (3),M,"Jan 20 - Mar 31, 18:15-21:30 (M)",TBA
OPM 7300,T20 (61183),Business Processes Management using an ERP System (3),M,"Jan 23 - Apr 03, 18:15-21:30 (R)",TBA
OPM 7300,G05 (62727),Recent Developments on Supply Chain Management (3),M,"Jan 20 - Mar 31, 18:15-21:30 (M)",TBA
OPM 7300,G04 (61179),Business Processes Management using an ERP System (3),M,"Jan 23 - Apr 03, 18:15-21:30 (R)",TBA
SCM 1000,A03 (64331),Introduction to Project Management (1.5),M,"Jan 06 - Apr 09, 08:30-09:45 (T)",TBA
SCM 1000,A04 (64332),Introduction to Project Management (1.5),M,"Jan 06 - Apr 09, 08:30-09:45 (R)",TBA
SCM 1000,A01 (62997),Introduction to Project Management (1.5),M,"Jan 06 - Apr 09, 08:30-09:45 (M)",Narendra Malalgoda
SCM 1000,A02 (62998),Introduction to Project Management (1.5),M,"Jan 06 - Apr 09, 08:30-09:45 (W)",Narendra Malalgoda
SCM 2160,A04 (53189),Supply Chain and Operations Management (3),M,"Jan 06 - Apr 09, 18:00-19:15 (MW)",Javad Feiz Abadi
SCM 2160,A05 (56519),Supply Chain and Operations Management (3),M,"Jan 06 - Apr 09, 11:30-12:45 (MW)",Hyunmin Shin
SCM 2160,A01 (51740),Supply Chain and Operations Management (3),M,"Jan 06 - Apr 09, 16:00-17:15 (TR)",Minelle Eneas Da Silva
SCM 2160,A03 (64011),Supply Chain and Operations Management (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Hyunmin Shin
SCM 2160,A02 (51741),Supply Chain and Operations Management (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Minelle Eneas Da Silva
SCM 2210,A01 (51286),Transportation Principles (3),M,"Jan 06 - Apr 09, 10:00-11:15 (MW)",Narendra Malalgoda
SCM 2230,A01 (50033),Introduction to Supply Chain Management (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Javad Feiz Abadi
SCM 2230,A02 (57524),Introduction to Supply Chain Management (3),M,"Jan 06 - Apr 09, 11:30-12:45 (MW)",Mani Venkatesh
SCM 3220,A01 (63001),Introduction to Business Process Management (3),M,"Jan 06 - Apr 09, 16:00-17:15 (M)",TBA
SCM 3240,A01 (62999),Supply Chain Analytics (3),M,"Jan 06 - Apr 09, 14:30-15:45 (MW)",Mani Venkatesh
SCM 3280,A01 (59859),Project Management in Supply Chain (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",TBA
SCM 3360,A01 (50037),Supply Chain Logistics (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Paul Larson
SCM 7018,T01 (63651),Seminar in Production and Operation Management (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Yuvraj Gajpal
SCM 7020,T01 (63652),Seminar in Supply Chain Management (3),M,"Jan 06 - Apr 09, 10:00-11:29 (MW)",Mani Venkatesh
SCM 7046,A01 (62728),Sustainable Supply Chain Management (3),M,"Jan 21 - Apr 01, 18:15-21:30 (T)",TBA
SCM 7046,G01 (62729),Sustainable Supply Chain Management (3),M,"Jan 20 - Apr 01, 18:15-21:30 (T)",TBA
SCM 7048,A01 (62730),Advanced Supply Chain Management (3),M,"Jan 22 - Apr 02, 18:15-21:30 (W)",TBA
SCM 7048,G01 (62731),Advanced Supply Chain Management (3),M,"Jan 22 - Apr 02, 18:15-21:30 (W)",TBA
ABIZ 1000,D01 (53549),Introduction to Agribusiness Management (3),DE,Jan 06 - Apr 09,Charles Grant
ABIZ 1000,A01 (50812),Introduction to Agribusiness Management (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",TBA
ABIZ 1010,A01 (50811),Economics of World Food Issues and Policies (3),M,"Jan 06 - Apr 09, 18:00-21:00 (W)",TBA
ABIZ 2390,A01 (50813),Introduction to Environmental Economics (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",TBA
ABIZ 2510,A01 (50814),Introduction to Agricultural and Food Marketing (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Alankrita Goswami
ABIZ 2520,B01 (56588),Introduction to Management Sciences (0),M,"Jan 06 - Apr 09, 10:30-11:20 (W)",TBA
ABIZ 2520,B02 (56589),Introduction to Management Sciences (0),M,"Jan 06 - Apr 09, 10:30-11:20 (R)",TBA
ABIZ 2520,A01 (50815),Introduction to Management Sciences (3),M,"Jan 06 - Apr 09, 08:30-09:20 (MWF)",TBA
ABIZ 2610,D01 (60677),Agricultural Law (3),DE,Jan 06 - Apr 09,James Townsend
ABIZ 2620,D01 (60263),Agricultural Human Resource Management (3),DE,Jan 06 - Apr 09,Janice Goldsborough
ABIZ 3080,D01 (62259),Introduction to Econometrics (3),DE,Jan 06 - Apr 09,Jared Carlberg
ABIZ 3510,A01 (52473),Economics of Food Policy (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Ryan Cardwell
ABIZ 3530,D01 (57834),Farm Management (3),DE,Jan 06 - Apr 09,Charles Grant
ABIZ 3540,A01 (50816),Financial Risk Management (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",TBA
ABIZ 4120,A01 (61360),Intermediate Econometrics (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",TBA
ABIZ 7240,A01 (62260),Research in Agricultural Marketing (3),M,Jan 06 - Apr 09,Jared Carlberg
ABIZ 7430,A01 (50817),Advanced Theory of Resource Economics (3),M,Jan 06 - Apr 09,Chad Lawley
ABIZ 7940,A01 (62261),Production Economics (3),M,Jan 06 - Apr 09,TBA
ANSC 2520,A01 (50788),Anatomy and Physiology 2: Nutrient Utilization (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Hooman Derakhshani
ANSC 2520,A01 (50788),Anatomy and Physiology 2: Nutrient Utilization (3),M,"Jan 06 - Apr 09, 14:30-17:25 (W)",Hooman Derakhshani
ANSC 2540,A01 (57434),Companion Animal Nutrition and Management (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Jan Plaizier
ANSC 3300,K01 (64900),Horse Production and Management (3),M,"Jan 06 - Apr 09, 16:00-17:30 (TR)",Emma McGeough
ANSC 3500,A01 (53347),Principles of Animal Genetics (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Nhamo Gozho
ANSC 3530,K01 (50789),The Animal and Its Environment (3),M,"Jan 06 - Apr 09, 14:30-17:15 (F)",Meagan King
ANSC 3530,K01 (50789),The Animal and Its Environment (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Meagan King
ANSC 4410,A01 (50904),"Grassland Agriculture: Plant, Animal and Environment (3)",M,"Jan 06 - Apr 09, 14:30-17:15 (M)",Emma McGeough
ANSC 4410,A01 (50904),"Grassland Agriculture: Plant, Animal and Environment (3)",M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Emma McGeough
ANSC 4510,K01 (61724),Domesticated Animal Behaviour (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Meagan King
ANSC 4510,K01 (61724),Domesticated Animal Behaviour (3),M,"Jan 06 - Apr 09, 14:30-17:15 (W)",Meagan King
ANSC 4640,K01 (59874),Swine Production Systems (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Charles Nyachoti
ANSC 4640,K01 (59874),Swine Production Systems (3),M,"Jan 06 - Apr 09, 14:30-17:15 (T)",Charles Nyachoti
ANSC 7140,A01 (64056),M.Sc. Animal Science Seminar (Part B) (1.5),M,"Jan 06 - Apr 09, 11:30-12:45 (T)",Chengbo Yang
ANSC 7390,A01 (64057),Ph.D. Advanced Animal Science Seminar (Part B) (1.5),M,"Jan 06 - Apr 09, 11:30-12:45 (T)",Karmin O
ANSC 7470,A01 (55623),Vitamin Nutrition and Metabolism (1.5),M,"Feb 26 - Apr 02, 13:00-15:45 (W)",Peter Eck
ANSC 7500,A01 (51794),Methodology in Agricultural and Food Sciences (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Marcos Cordeiro
ANSC 7500,A01 (51794),Methodology in Agricultural and Food Sciences (3),M,"Jan 06 - Apr 09, 09:00-11:00 (F)",Marcos Cordeiro
BIOE 2480,A01 (53473),Impact of Engineering on the Environment (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Warren Blunt
BIOE 2800,A01 (56077),Solid Mechanics (4),M,"Jan 06 - Apr 09, 14:30-16:20 (W)",Wen Zhong
BIOE 2800,A01 (56077),Solid Mechanics (4),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Wen Zhong
BIOE 3270,B02 (51029),Instrumentation and Measurement for Biosystems (0),M,"Jan 06 - Apr 09, 14:30-17:15 (T)",TBA
BIOE 3270,B01 (51028),Instrumentation and Measurement for Biosystems (0),M,"Jan 06 - Apr 09, 11:30-14:15 (T)",TBA
BIOE 3270,A01 (50895),Instrumentation and Measurement for Biosystems (4),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",TBA
BIOE 3320,B02 (51887),Engineering Properties of Biological Materials (0),M,"Jan 06 - Apr 09, 14:30-17:25 (T)",Derek Inglis
BIOE 3320,A01 (50896),Engineering Properties of Biological Materials (4),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Song Liu
BIOE 3320,B01 (51886),Engineering Properties of Biological Materials (0),M,"Jan 06 - Apr 09, 11:30-14:25 (T)",Derek Inglis
BIOE 4240,A01 (50901),Graduation Project (3),M,"Jan 06 - Apr 09, 14:30-17:15 (T)",David Levin
BIOE 4416,T05 (59911),Design and Evaluation of Flexible Materials (3),M,"Jan 06 - Apr 09, 14:30-17:20 (T)",Mashiur Rahman
BIOE 4420,B01 (64473),Crop Preservation (4),M,"Jan 06 - Apr 09, 14:30-17:15 (R)",Derek Inglis
BIOE 4420,A01 (64471),Crop Presevation (4),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Fuji Jian
BIOE 4560,A01 (64462),Structural Design in Wood (4),M,"Jan 06 - Apr 09, 14:30-17:25 (M)",Farhoud Delijani
BIOE 4560,A01 (64462),Structural Design in Wood (4),M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",Farhoud Delijani
BIOE 4590,A01 (64470),Management of By-Products from Animal Production (4),M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",TBA
BIOE 4590,A01 (64470),Management of By-Products from Animal Production (4),M,"Jan 06 - Apr 09, 14:30-17:25 (M)",TBA
BIOE 4640,A01 (64472),Bioengineering Applications in Medicine (4),M,"Jan 06 - Apr 09, 14:30-17:15 (R)",Jason Morrison
BIOE 4640,A01 (64472),Bioengineering Applications in Medicine (4),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Jason Morrison
BIOE 4950,A01 (54681),Biosystems Engineering Design 4 (4),M,"Jan 06 - Apr 09, 14:30-16:20 (WF)",Natasha Jacobson
BIOE 4950,A01 (54681),Biosystems Engineering Design 4 (4),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Natasha Jacobson
BIOE 7110,A01 (64289),Grain Storage (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Fuji Jian
BIOE 7220,A01 (64290),Advanced Machine Design Analysis for Biosystems (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Daniel Mann
BIOE 7240,T26 (62904),Sustainability in the Textile Industry (3),M,"Jan 06 - Apr 09, 14:30-17:20 (W)",Mashiur Rahman
ENTM 1000,A01 (50792),World of Bugs (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Kateryn Rochon
ENTM 3160,A01 (64162),Veterinary and Wildlife Entomology (3),M,"Jan 06 - Apr 09, 08:30-09:20 (MWF)",Kateryn Rochon
ENTM 3170,B02 (62299),Crop Protection Entomology (0),M,"Jan 06 - Apr 09, 14:30-17:25 (R)",Jason Gibbs
ENTM 3170,B01 (64041),Crop Protection Entomology (0),M,"Jan 06 - Apr 09, 14:30-17:25 (M)",Jason Gibbs
ENTM 3170,A01 (50793),Crop Protection Entomology (3),M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",Jason Gibbs
ENTM 7150,A01 (54810),Advanced Entomology 1 (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Jason Gibbs
ENTM 7220,A01 (50905),Advanced Entomology (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Jason Gibbs
FOOD 2500,B01 (52193),Food Chemistry (0),M,"Jan 06 - Apr 09, 14:30-17:25 (R)",Michel Aliani
FOOD 2500,B02 (52194),Food Chemistry (0),M,"Jan 06 - Apr 09, 14:30-17:25 (F)",Michel Aliani
FOOD 2500,A01 (50827),Food Chemistry (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Michel Aliani
FOOD 3010,K01 (50828),Food Process 1 (3),M,"Jan 06 - Apr 09, 14:30-17:25 (W)",Nandika Adhikari Mudiyanselage
FOOD 3010,K01 (50828),Food Process 1 (3),M,"Jan 06 - Apr 09, 14:30-17:25 (F)",Nandika Adhikari Mudiyanselage
FOOD 3160,A01 (64327),Frozen Dairy Products (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",TBA
FOOD 3160,A01 (64327),Frozen Dairy Products (3),M,"Jan 06 - Apr 09, 14:30-17:15 (F)",TBA
FOOD 3200,A01 (64328),Baking Science and Technology (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",Marie Malalgoda
FOOD 3210,A01 (50829),Food Engineering Fundamentals (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Havva Koksel Ustundag
FOOD 3210,A01 (50829),Food Engineering Fundamentals (3),M,"Jan 06 - Apr 09, 14:30-17:25 (R)",Havva Koksel Ustundag
FOOD 4100,A01 (60258),Current Issues in Food and Human Nutrition (3),M,"Jan 06 - Apr 09, 08:30-09:45 (MW)",Dylan Mackay
FOOD 4230,A01 (50933),Food Research (3),M,Jan 06 - Apr 09,Rotimi Aluko
FOOD 4250,B01 (61885),Food Analysis 2 (0),M,"Jan 06 - Apr 09, 14:30-17:25 (T)",Liyana Nimalaratne
FOOD 4250,B02 (51702),Food Analysis 2 (0),M,"Jan 06 - Apr 09, 14:30-17:25 (W)",Liyana Nimalaratne
FOOD 4250,A01 (50830),Food Analysis 2 (3),M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",Liyana Nimalaratne
FOOD 4260,A01 (64292),Water Management in Food Processing (3),M,"Jan 06 - Apr 09, 14:30-17:25 (M)",Liyana Nimalaratne
FOOD 4260,A01 (64292),Water Management in Food Processing (3),M,"Jan 06 - Apr 09, 10:00-11:15 (MW)",Liyana Nimalaratne
FOOD 4500,A01 (56073),Food Safety and Regulations (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Snehil Dua
FOOD 4510,A01 (50831),Food Product Development (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Claudia Narvaez Bravo
FOOD 7130,T01 (62927),Food Science Seminar (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Nandika Adhikari Mudiyanselage
FOOD 7130,A02 (53651),Food Science Seminar (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Nandika Adhikari Mudiyanselage
FOOD 7200,A01 (64291),Advanced Food Microbiology (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Claudia Narvaez Bravo
HNSC 1200,A01 (50681),Food: Facts and Fallacies (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Liyana Nimalaratne
HNSC 1200,D01 (51251),Food: Facts and Fallacies (3),DE,Jan 06 - Apr 09,Kristin Hildahl-Shawn
HNSC 1210,A01 (50732),Nutrition for Health and Changing Lifestyles (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",N Eskin
HNSC 1210,D01 (58704),Nutrition for Health and Changing Lifestyles (3),DE,Jan 06 - Apr 09,Kristin Hildahl-Shawn
HNSC 1210,A03 (50599),Nutrition for Health and Changing Lifestyles (3),M,"Jan 06 - Apr 09, 18:00-20:45 (M)",Christina Lengyel
HNSC 1210,A02 (50733),Nutrition for Health and Changing Lifestyles (3),M,"Jan 06 - Apr 09, 08:30-11:15 (M)",Leslie Redmond
HNSC 2000,B04 (59046),Research Methods and Presentation (0),M,"Feb 12 - Feb 12, 13:30-14:20 (W)",TBA
HNSC 2000,B04 (59046),Research Methods and Presentation (0),M,"Mar 12 - Mar 12, 13:30-14:20 (W)",TBA
HNSC 2000,B03 (59044),Research Methods and Presentation (0),M,"Feb 10 - Feb 10, 16:30-17:20 (M)",TBA
HNSC 2000,B03 (59044),Research Methods and Presentation (0),M,"Jan 20 - Jan 20, 16:30-17:20 (M)",TBA
HNSC 2000,B02 (59042),Research Methods and Presentation (0),M,"Jan 20 - Jan 20, 15:30-16:20 (M)",TBA
HNSC 2000,B08 (59062),Research Methods and Presentation (0),M,"Mar 14 - Mar 14, 13:30-14:20 (F)",TBA
HNSC 2000,B02 (59042),Research Methods and Presentation (0),M,"Feb 10 - Feb 10, 15:30-16:20 (M)",TBA
HNSC 2000,B03 (59044),Research Methods and Presentation (0),M,"Mar 10 - Mar 10, 16:30-17:20 (M)",TBA
HNSC 2000,B02 (59042),Research Methods and Presentation (0),M,"Mar 10 - Mar 10, 15:30-16:20 (M)",TBA
HNSC 2000,B09 (59069),Research Methods and Presentation (0),M,"Jan 24 - Jan 24, 14:30-15:20 (F)",TBA
HNSC 2000,B09 (59069),Research Methods and Presentation (0),M,"Feb 14 - Feb 14, 14:30-15:20 (F)",TBA
HNSC 2000,B08 (59062),Research Methods and Presentation (0),M,"Feb 14 - Feb 14, 13:30-14:20 (F)",TBA
HNSC 2000,B09 (59069),Research Methods and Presentation (0),M,"Mar 14 - Mar 14, 14:30-15:20 (F)",TBA
HNSC 2000,B10 (59070),Research Methods and Presentation (0),M,"Jan 24 - Jan 24, 15:30-16:20 (F)",TBA
HNSC 2000,B10 (59070),Research Methods and Presentation (0),M,"Mar 14 - Mar 14, 15:30-16:20 (F)",TBA
HNSC 2000,B10 (59070),Research Methods and Presentation (0),M,"Feb 14 - Feb 14, 15:30-16:20 (F)",TBA
HNSC 2000,B08 (59062),Research Methods and Presentation (0),M,"Jan 24 - Jan 24, 13:30-14:20 (F)",TBA
HNSC 2000,B05 (59054),Research Methods and Presentation (0),M,"Feb 12 - Feb 12, 14:30-15:20 (W)",TBA
HNSC 2000,B05 (59054),Research Methods and Presentation (0),M,"Mar 12 - Mar 12, 14:30-15:20 (W)",TBA
HNSC 2000,B04 (59046),Research Methods and Presentation (0),M,"Jan 22 - Jan 22, 13:30-14:20 (W)",TBA
HNSC 2000,B05 (59054),Research Methods and Presentation (0),M,"Jan 22 - Jan 22, 14:30-15:20 (W)",TBA
HNSC 2000,B06 (59056),Research Methods and Presentation (0),M,"Feb 12 - Feb 12, 15:30-16:20 (W)",TBA
HNSC 2000,B06 (59056),Research Methods and Presentation (0),M,"Jan 22 - Jan 22, 15:30-16:20 (W)",TBA
HNSC 2000,B06 (59056),Research Methods and Presentation (0),M,"Mar 12 - Mar 12, 15:30-16:20 (W)",TBA
HNSC 2000,B01 (59038),Research Methods and Presentation (0),M,"Mar 10 - Mar 10, 14:30-15:20 (M)",TBA
HNSC 2000,B01 (59038),Research Methods and Presentation (0),M,"Jan 20 - Jan 20, 14:30-15:20 (M)",TBA
HNSC 2000,A01 (59030),Research Methods and Presentation (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",TBA
HNSC 2000,B01 (59038),Research Methods and Presentation (0),M,"Feb 10 - Feb 10, 14:30-15:20 (M)",TBA
HNSC 2130,A01 (50600),Nutrition Through the Life Cycle (3),M,"Jan 06 - Apr 09, 18:00-20:45 (R)",James House
HNSC 2130,D01 (51577),Nutrition Through the Life Cycle (3),DE,Jan 06 - Apr 09,Snehil Dua
HNSC 2140,A01 (50734),Basic Principles of Human Nutrition (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",TBA
HNSC 2150,A01 (50735),"Composition, Functional and Nutritional Properties of Foods (3)",M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",Michel Aliani
HNSC 2170,A01 (53546),Nutrition for Health Professionals (2),OC,"Mar 24 - Mar 24,  (M)",Kristin Hildahl-Shawn
HNSC 2170,A01 (53546),Nutrition for Health Professionals (2),OC,Jan 06 - Mar 14,Kristin Hildahl-Shawn
HNSC 3300,A01 (50736),Vitamins and Minerals in Human Health (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Peter Eck
HNSC 3330,A01 (50737),Ingredient Technology for Designed Foods (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",Rotimi Aluko
HNSC 3350,D01 (52327),Culture and Food Patterns (3),DE,Jan 06 - Apr 09,Leslie Redmond
HNSC 4100,A01 (60260),Current Issues in Food and Human Nutrition (3),M,"Jan 06 - Apr 09, 08:30-09:45 (MW)",Dylan Mackay
HNSC 4120,A01 (50888),Senior Thesis (3),M,Jan 06 - Apr 09,Rotimi Aluko
HNSC 4122,A01 (58139),Research Project in Human Nutritional Sciences (Part B) (3),M,Jan 06 - Apr 09,Rotimi Aluko
HNSC 4140,A01 (53602),Quantity Food Production and Management (3),M,"Jan 06 - Apr 09, 12:00-13:15 (MW)",Snehil Dua
HNSC 4140,B01 (53603),Quantity Food Production and Management (0),M,"Jan 06 - Apr 09, 08:00-12:00 (F)",Snehil Dua
HNSC 4280,A01 (50761),Food Product Development (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Claudia Narvaez Bravo
HNSC 4300,A01 (51091),Community Nutrition Intervention (3),M,"Jan 06 - Apr 09, 10:30-11:45 (MW)",TBA
HNSC 4310,A01 (64293),Nutrition and the Elderly (3),M,"Jan 06 - Apr 09, 14:30-17:00 (W)",Christina Lengyel
HNSC 4362,A01 (51090),Nutrition Option Practicum (Part B) (3),M,Jan 06 - Apr 09,Rotimi Aluko
HNSC 4364,A01 (51092),Foods Industry Option Practicum (Part B) (3),M,Jan 06 - Apr 09,Rotimi Aluko
HNSC 4500,A01 (61094),Clinical Nutrition I (3),M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",TBA
HNSC 4550,A01 (61095),Clinical Nutrition II (3),M,"Jan 06 - Apr 09, 14:30-16:55 (R)",TBA
HNSC 7200,T02 (53554),Advanced Seminar in Human Nutritional Sciences (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Maria Molina Rosell
HNSC 7200,A02 (53552),Seminar in Food and Nutrition Research (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Maria Molina Rosell
HNSC 7470,A01 (64432),Vitamin Nutrition and Metabolism (1.5),M,"Feb 26 - Apr 02, 13:00-15:45 (W)",Peter Eck
HNSC 7510,A01 (64439),Flavour Chemistry and Sensory Properties of Food (1.5),M,"Jan 09 - Feb 13, 13:00-16:15 (R)",Michel Aliani
HNSC 7540,A01 (64438),Nutrition Epidemiology (1.5),M,"Jan 08 - Feb 12, 13:30-16:00 (W)",Natalie Riediger
HNSC 7710,A01 (63833),Applied Human Nutrition Practicum 2 (6),M,Jan 06 - Apr 11,Semone Myrie
HNSC 7740,A01 (63834),Advanced Applied Human Nutrition 2 (3),M,"Jan 06 - Apr 11, 09:00-12:00 (M)",TBA
AGRI 1600,B03 (60288),Introduction to Agrifood Systems (0),M,"Jan 06 - Apr 09, 14:30-17:15 (W)",TBA
