COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Mar 04 - Mar 04, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Feb 25 - Feb 25, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Feb 18 - Feb 18, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Jan 14 - Jan 14, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Apr 01 - Apr 01, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Jan 21 - Jan 21, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Mar 18 - Mar 18, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Feb 04 - Feb 11, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Mar 25 - Mar 25, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Jan 28 - Jan 28, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Apr 08 - Apr 08, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,B01 (50633),Introduction to Japanese (Part B) (0),M,"Mar 11 - Mar 11, 13:30-14:20 (T)",Yuhko Kayama
ASIA 1770,A05 (57445),Introduction to Japanese (Part B) (3),M,"Jan 06 - Apr 09, 18:00-19:15 (TR)",TBA
ASIA 1770,A04 (50639),Introduction to Japanese (Part B) (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",TBA
ASIA 1770,A02 (50638),Introduction to Japanese (Part B) (3),M,"Jan 06 - Apr 09, 14:30-15:20 (MWF)",Yuhko Kayama
